#Parameters = {xrot=0; Er=1; alpha=0; phi=0; theta=0; x=11812.67}
#"Frequency / GHz"	"RCS (Cartesian) (0.0 0.0 100)(Abs) [pw] (xrot=0) [Magnitude in dB]"
#--------------------------------------------------------------------------------------
1.0000000000000	-66.740211396438
1.0190000000000	-68.052815805376
1.0380000000000	-68.374426427913
1.0570000000000	-66.967210155216
1.0760000000000	-65.233993860310
1.0950000000000	-64.145586046562
1.1140000000000	-63.900660064068
1.1330000000000	-64.436369667789
1.1520000000000	-65.416830930792
1.1710000000000	-65.936120818455
1.1900000000000	-65.171220435379
1.2090000000000	-63.771924674059
1.2280000000000	-62.689750624698
1.2470000000000	-62.277087408359
1.2660000000000	-62.542222506325
1.2850000000000	-63.243300040271
1.3040000000000	-63.746059133884
1.3230000000000	-63.337658577255
1.3420000000000	-62.233836188536
1.3610000000000	-61.203077288450
1.3800000000000	-60.671082127867
1.3990000000000	-60.712742568272
1.4180000000000	-61.162740727402
1.4370000000000	-61.572376358529
1.4560000000000	-61.377366718943
1.4750000000000	-60.551819016894
1.4940000000000	-59.629625999325
1.5130000000000	-59.041825731101
1.5320000000000	-58.925094705915
1.5510000000000	-59.189286192147
1.5700000000000	-59.523512225584
1.5890000000000	-59.487962533574
1.6080000000000	-58.924650769614
1.6270000000000	-58.153317572172
1.6460000000000	-57.568256163003
1.6650000000000	-57.357293867884
1.6840000000000	-57.499010106357
1.7030000000000	-57.782093662319
1.7220000000000	-57.859327547222
1.7410000000000	-57.510518304410
1.7600000000000	-56.891039476750
1.7790000000000	-56.335547082298
1.7980000000000	-56.064197601089
1.8170000000000	-56.111240793118
1.8360000000000	-56.336935709062
1.8550000000000	-56.464856423691
1.8740000000000	-56.258028457880
1.8930000000000	-55.759186546289
1.9120000000000	-55.233361147445
1.9310000000000	-54.910451580503
1.9500000000000	-54.865057727423
1.9690000000000	-55.011085467078
1.9880000000000	-55.131200072674
2.0070000000000	-55.000225175565
2.0260000000000	-54.590145038900
2.0450000000000	-54.094077430423
2.0640000000000	-53.730336452828
2.0830000000000	-53.599911296408
2.1020000000000	-53.660292589914
2.1210000000000	-53.747178238185
2.1400000000000	-53.661772901076
2.1590000000000	-53.333101156151
2.1780000000000	-52.885027690326
2.1970000000000	-52.508845101771
2.2160000000000	-52.321111571364
2.2350000000000	-52.316465806623
2.2540000000000	-52.377659605572
2.2730000000000	-52.335757454411
2.2920000000000	-52.094182565404
2.3110000000000	-51.715815528343
2.3300000000000	-51.357456700114
2.3490000000000	-51.142804579233
2.3680000000000	-51.097228882688
2.3870000000000	-51.143227655962
2.4060000000000	-51.140206096021
2.4250000000000	-50.978713151549
2.4440000000000	-50.673275954384
2.4630000000000	-50.344839607276
2.4820000000000	-50.116835258949
2.5010000000000	-50.038053655457
2.5200000000000	-50.063424596439
2.5390000000000	-50.078449107725
2.5580000000000	-49.971191042281
2.5770000000000	-49.721681495408
2.5960000000000	-49.417036643573
2.6150000000000	-49.173650667492
2.6340000000000	-49.056086215688
2.6530000000000	-49.045446597684
2.6720000000000	-49.051829161908
2.6910000000000	-48.969161131132
2.7100000000000	-48.755435330499
2.7290000000000	-48.467194998434
2.7480000000000	-48.207826199174
2.7670000000000	-48.050458356945
2.7860000000000	-47.997403661094
2.8050000000000	-47.982307626440
2.8240000000000	-47.910524058634
2.8430000000000	-47.727175477501
2.8620000000000	-47.461430855092
2.8810000000000	-47.199085762888
2.9000000000000	-47.015741915276
2.9190000000000	-46.930749989167
2.9380000000000	-46.899647559430
2.9570000000000	-46.841619814285
2.9760000000000	-46.694906829634
2.9950000000000	-46.464882565485
3.0140000000000	-46.217520629289
3.0330000000000	-46.026307418306
3.0520000000000	-45.923752110960
3.0710000000000	-45.884794070119
3.0900000000000	-45.842865086270
3.1090000000000	-45.733750582747
3.1280000000000	-45.543674061970
3.1470000000000	-45.318992685277
3.1660000000000	-45.127805675576
3.1850000000000	-45.011975878963
3.2040000000000	-44.962961842157
